#Title : in-situ observations catalog
#Description : catalog of available in-situ observations per platform
#Project : MyOcean
#Format Version : 1.0
#Last Update : 20151217130514
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_MO_LaFigueiretteTG_20151117.nc,43.4835,43.4835,6.93377,6.93377,2015-11-17T00:00:00Z,2015-11-17T23:50:00Z,SHOM,2015-12-07T20:58:50Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_MO_MarseilleTG_20151117.nc,43.2785,43.2785,5.3537,5.3537,2015-11-17T00:00:00Z,2015-11-17T23:50:00Z,SHOM,2015-12-07T20:48:51Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_MO_NiceTG_20151117.nc,43.6956,43.6956,7.2855,7.2855,2015-11-17T00:00:00Z,2015-11-17T23:50:00Z,SHOM,2015-12-07T20:55:22Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_MO_PortVendresTG_20151117.nc,42.5201,42.5201,3.1073,3.1073,2015-11-17T00:00:00Z,2015-11-17T23:50:00Z,SHOM,2015-12-07T21:02:12Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_MO_SolenzaraTG_20151117.nc,41.8569,41.8569,9.40383,9.40383,2015-11-17T00:00:00Z,2015-11-17T23:50:00Z,SHOM,2015-12-07T20:42:11Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_MO_ToulonTG_20151117.nc,43.1228,43.1228,5.9146,5.9146,2015-11-17T00:00:00Z,2015-11-17T23:50:00Z,SHOM,2015-12-07T20:58:48Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_PF_6901243_20151117.nc,38.311,38.311,4.784,4.784,2015-11-17T00:30:54Z,2015-11-17T23:49:21Z,INSTITUTO ESPANOL DE OCEANOGRAFIA (MADRID),2015-11-22T05:15:00Z,R, PRES TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_PF_6901886_20151117.nc,36.7678,36.7678,23.198,23.198,2015-11-17T07:12:00Z,2015-11-17T08:33:00Z,HELLENIC CENTER FOR MARINE RESEARCH (HCMR),2015-11-17T12:15:04Z,R, PRES PSAL TEMP_DOXY TEMP
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_TS_3EBE3_20151117.nc,34.1844,34.33,6.75012,6.8395,2015-11-17T00:01:23Z,2015-11-17T20:26:04Z,MIO  Mediterranean Institute of Oceanography,2015-11-19T09:46:14Z,R, DEPH PSAL SSJT CNDC TEMP
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_61196_20151117.nc,41.90552,41.90674,3.64685,3.65051,2015-11-17T00:00:00Z,2015-11-17T23:00:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH VTDH VTZA VDIR ATMS DRYT WSPD WDIR
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_61197_20151117.nc,39.71436,39.7168,4.4165,4.42871,2015-11-17T00:00:00Z,2015-11-17T23:00:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH VTDH VTZA VDIR ATMS DRYT WSPD WDIR
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_61198_20151117.nc,36.56982,36.56982,-2.34131,-2.33887,2015-11-17T00:00:00Z,2015-11-17T23:00:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH VTDH VTZA VDIR ATMS DRYT WSPD WDIR HCSP HCDT TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_61280_20151117.nc,40.68604,40.68604,1.46484,1.46484,2015-11-17T00:00:00Z,2015-11-17T23:00:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH VTDH VTZA VDIR ATMS DRYT WSPD WDIR HCSP HCDT TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_61281_20151117.nc,39.52148,39.52148,0.20508,0.20752,2015-11-17T00:00:00Z,2015-11-17T23:00:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH VTDH VTZA VDIR ATMS DRYT WSPD WDIR HCSP HCDT TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_61417_20151117.nc,37.65381,37.65625,-0.32715,-0.32471,2015-11-17T00:00:00Z,2015-11-17T23:00:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH VTDH VTZA VDIR ATMS DRYT WSPD WDIR HCSP HCDT TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_61430_20151117.nc,39.55078,39.56055,2.09961,2.11182,2015-11-17T00:00:00Z,2015-11-17T23:00:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH VTDH VTZA VDIR ATMS DRYT WSPD WDIR HCSP HCDT TEMP
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_AlcudiaTG_20151117.nc,39.8347,39.8347,3.13917,3.13917,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_AlgecirasTG_20151117.nc,36.1769,36.1769,-5.39833,-5.39833,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_AlmeriaTG_20151117.nc,36.83,36.83,-2.478,-2.478,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_BarcelonaTG_20151117.nc,41.342,41.342,2.163,2.163,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_FormenteraTG_20151117.nc,38.7347,38.7347,1.41889,1.41889,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_GandiaTG_20151117.nc,38.995,38.995,-0.152,-0.152,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_IbizaTG_20151117.nc,38.9111,38.9111,1.44972,1.44972,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_MahonTG_20151117.nc,39.893,39.893,4.27056,4.27056,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_MalagaTG_20151117.nc,36.712,36.712,-4.417,-4.417,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_MelillaTG_20151117.nc,35.291,35.291,-2.918,-2.918,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_MotrilTG_20151117.nc,36.72,36.72,-3.524,-3.524,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_PalmadeMallorcaTG_20151117.nc,39.5603,39.5603,2.6375,2.6375,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_SaguntoTG_20151117.nc,39.634,39.634,-0.206,-0.206,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_TarifaTG_20151117.nc,36.0064,36.0064,-5.60361,-5.60361,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/IR_LATEST_TS_MO_ValenciaTG_20151117.nc,39.46,39.46,-0.33,-0.33,2015-11-17T00:00:00Z,2015-11-17T23:59:00Z,Puertos del Estado (Spain),2015-11-19T18:17:34Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/MO_LATEST_PR_PF_6901886_20151117.nc,36.7678,36.7678,23.198,23.198,2015-11-17T08:33:02Z,2015-11-17T08:33:02Z,HCMR,2015-11-18T06:32:15Z,R, PRES TEMP PSAL DOX1
